INFO   | jvm 1    | 2016/12/13 16:11:43 |   NOT STARTED.
INFO   | jvm 1    | 2016/12/13 16:11:43 |   Currently in standby mode.
INFO   | jvm 1    | 2016/12/13 16:11:43 |   Number of jobs executed: 0
INFO   | jvm 1    | 2016/12/13 16:11:43 |   Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
INFO   | jvm 1    | 2016/12/13 16:11:43 |   Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.
INFO   | jvm 1    | 2016/12/13 16:11:43 | 
INFO   | jvm 1    | 2016/12/13 16:11:43 | 2016-12-13 16:11:43,620 [WrapperSimpleAppMain] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'DefaultQuartzScheduler' initialized from default resource file in Quartz package: 'quartz.properties'
INFO   | jvm 1    | 2016/12/13 16:11:43 | 2016-12-13 16:11:43,620 [WrapperSimpleAppMain] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.2.3
INFO   | jvm 1    | 2016/12/13 16:11:43 | 2016-12-13 16:11:43,636 [WrapperSimpleAppMain] INFO  goods.schedule.QuartzTask - Goods started!
INFO   | jvm 1    | 2016/12/13 16:11:43 | 2016-12-13 16:11:43,636 [WrapperSimpleAppMain] INFO  goods.schedule.QuartzTask - SFDCSession Job started!
INFO   | jvm 1    | 2016/12/13 16:11:43 | 2016-12-13 16:11:43,636 [WrapperSimpleAppMain] INFO  org.quartz.core.QuartzScheduler - Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED started.
INFO   | jvm 1    | 2016/12/13 16:11:43 | 2016-12-13 16:11:43,636 [WrapperSimpleAppMain] INFO  goods.schedule.QuartzTask - Scheduler start
INFO   | jvm 1    | 2016/12/13 16:11:43 | 2016-12-13 16:11:43,636 [WrapperSimpleAppMain] INFO  goods.schedule.QuartzTask - Service completed!
INFO   | jvm 1    | 2016/12/13 16:11:43 | 2016-12-13 16:11:43,636 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.core.QuartzSchedulerThread - batch acquisition of 0 triggers
INFO   | jvm 1    | 2016/12/13 16:12:09 | 2016-12-13 16:12:09,406 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.core.QuartzSchedulerThread - batch acquisition of 0 triggers
INFO   | jvm 1    | 2016/12/13 16:12:34 | 2016-12-13 16:12:34,869 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.core.QuartzSchedulerThread - batch acquisition of 0 triggers
INFO   | jvm 1    | 2016/12/13 16:12:59 | 2016-12-13 16:12:59,344 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.core.QuartzSchedulerThread - batch acquisition of 0 triggers
INFO   | jvm 1    | 2016/12/13 16:13:28 | 2016-12-13 16:13:28,666 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.core.QuartzSchedulerThread - batch acquisition of 0 triggers
INFO   | jvm 1    | 2016/12/13 16:13:52 | 2016-12-13 16:13:52,309 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.core.QuartzSchedulerThread - batch acquisition of 0 triggers
INFO   | jvm 1    | 2016/12/13 16:14:20 | 2016-12-13 16:14:20,822 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.core.QuartzSchedulerThread - batch acquisition of 0 triggers
INFO   | jvm 1    | 2016/12/13 16:14:50 | 2016-12-13 16:14:50,255 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.core.QuartzSchedulerThread - batch acquisition of 0 triggers
INFO   | jvm 1    | 2016/12/13 16:15:18 | 2016-12-13 16:15:18,358 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.core.QuartzSchedulerThread - batch acquisition of 0 triggers
INFO   | jvm 1    | 2016/12/13 16:15:46 | 2016-12-13 16:15:45,978 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.core.QuartzSchedulerThread - batch acquisition of 1 triggers
INFO   | jvm 1    | 2016/12/13 16:16:00 | 2016-12-13 16:16:00,010 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.simpl.PropertySettingJobFactory - Producing instance of Job 'group1.Goods Job', class=goods.handler.GoodsHandler
INFO   | jvm 1    | 2016/12/13 16:16:00 | 2016-12-13 16:16:00,012 [DefaultQuartzScheduler_QuartzSchedulerThread] DEBUG org.quartz.core.QuartzSchedulerThread - batch acquisition of 0 triggers
INFO   | jvm 1    | 2016/12/13 16:16:00 | 2016-12-13 16:16:00,012 [DefaultQuartzScheduler_Worker-1] DEBUG org.quartz.core.JobRunShell - Calling execute on job group1.Goods Job
INFO   | jvm 1    | 2016/12/13 16:16:00 | 2016-12-13 16:16:00,012 [DefaultQuartzScheduler_Worker-1] INFO  goods.handler.GoodsHandler - GoodsHandler started!
INFO   | jvm 1    | 2016/12/13 16:16:00 | 2016-12-13 16:16:00,012 [DefaultQuartzScheduler_Worker-1] INFO  goods.utilities.BaseConfig - Load E:\workspace\SOAP Operate Goods\src\SFDCConf.properties
INFO   | jvm 1    | 2016/12/13 16:16:00 | 2016-12-13 16:16:00,027 [DefaultQuartzScheduler_Worker-1] INFO  goods.service.GoodsService - fetch 2records from csv
INFO   | jvm 1    | 2016/12/13 16:16:00 | 2016-12-13 16:16:00,043 [DefaultQuartzScheduler_Worker-1] INFO  goods.service.SFDCService - Login SFDC start!
INFO   | jvm 1    | 2016/12/13 16:16:02 | 2016-12-13 16:16:02,042 [DefaultQuartzScheduler_Worker-1] INFO  goods.service.SFDCService - Login SFDC end!
